SMILES,predicted_proxy,novelty,MW
Cc1nc(C)nc(OP(=O)(O)O)n1,0.2435,0.7308,205.11
Cc1nc(C#N)nc(OP(=O)(O)O)n1,0.2431,0.7941,216.09
CCOP(=O)(OCC)c1ccc(S(=O)(=O)O)cc1,0.2422,0.4375,294.26
Cc1cc(N)cc(-c2ccccc2)c1,0.2420,0.5200,183.25
Cc1cc(-c2ccccc2)cc(S(=O)(=O)O)c1,0.2418,0.6667,248.30
Oc1cc(O)cc(O)c1,0.2417,0.7727,126.11
CCOP(=O)(OCC)c1ccccc1P(=O)(O)O,0.2403,0.4516,294.18
CCOP(=O)(OCC)c1ccccc1OP(=O)(O)O,0.2402,0.5143,310.18
O=C(O)c1cc(-c2ccccc2)cc(S(=O)(=O)O)c1,0.2399,0.5862,278.28
CCOP(=O)(OCC)c1ccc(C#N)cc1,0.2396,0.4194,239.21
CCOP(=O)(OCC)c1ccccc1N,0.2390,0.4516,229.22
N#Cc1cc(C#N)cc(-c2ccccc2)c1,0.2389,0.5500,204.23
Cc1cc(O)cc(OP(=O)(O)O)c1,0.2387,0.7059,204.12
CCOP(=O)(OCC)c1ccc(O)cc1,0.2386,0.3571,230.20
Cc1nc(C)nc(-c2ccccc2)n1,0.2384,0.6000,185.23
Cc1nc(C#N)nc(-c2ccccc2)n1,0.2373,0.7143,196.21
Nc1cc(OP(=O)(O)O)cc(C(=O)O)c1,0.2373,0.6857,233.12
CCOP(=O)(OCC)c1ccccc1S(=O)(=O)O,0.2366,0.5143,294.26
CCOP(=O)(OCC)c1cc(N)cc(N)c1,0.2361,0.4667,244.23
Cc1ccc(OP(=O)(O)O)cc1,0.2353,0.5714,188.12
CCOP(=O)(OCC)c1ccc(P(=O)(OCC)OCC)cc1,0.2344,0.2174,350.29
Nc1cc(C(=O)O)cc(-c2ccccc2)c1,0.2342,0.5556,213.24
N#Cc1nc(N)nc(S(=O)(=O)O)n1,0.2342,0.7407,201.17
N#Cc1nc(N)nc(N)n1,0.2342,0.5000,136.12
N#Cc1nc(N)nc(O)n1,0.2339,0.6667,137.10
Cc1cc(C#N)cc(OP(=O)(O)O)c1,0.2334,0.7368,213.13
O=C(O)c1cc(C(=O)O)cc(P(=O)(O)O)c1,0.2332,0.5600,246.11
N#Cc1nc(O)nc(O)n1,0.2331,0.8500,138.09
CCOP(=O)(OCC)c1cc(N)cc(P(=O)(O)O)c1,0.2330,0.5429,309.20
CCOP(=O)(OCC)c1cc(N)cc(OP(=O)(O)O)c1,0.2329,0.5897,325.19
CCOP(=O)(OCC)c1cc(OP(=O)(O)O)cc(P(=O)(O)O)c1,0.2321,0.5676,390.16
Cc1nc(N)nc(S(=O)(=O)O)n1,0.2320,0.7083,190.18
CCOP(=O)(OCC)c1cc(P(=O)(O)O)cc(P(=O)(O)O)c1,0.2320,0.4667,374.16
N#Cc1cc(C(=O)O)cc(P(=O)(O)O)c1,0.2319,0.6667,227.11
CCOP(=O)(OCC)c1cc(O)cc(P(=O)(O)O)c1,0.2319,0.5294,310.18
N#Cc1nc(O)nc(S(=O)(=O)O)n1,0.2319,0.8824,202.15
CCOP(=O)(OCC)c1cc(O)cc(OP(=O)(O)O)c1,0.2319,0.5789,326.18
O=C(O)c1ccc(S(=O)(=O)c2ccccc2)cc1,0.2314,0.3636,262.29
CCOP(=O)(OCC)c1cc(OP(=O)(O)O)cc(OP(=O)(O)O)c1,0.2312,0.5294,406.16
CCOP(=O)(OCC)c1ccccc1P(=O)(OCC)OCC,0.2308,0.3462,350.29
O=C(O)c1nc(OP(=O)(O)O)nc(C(=O)O)n1,0.2308,0.7273,265.07
CCOP(=O)(OCC)c1ccccc1C#N,0.2308,0.5000,239.21
CCOP(=O)(OCC)c1ccc(C)cc1,0.2307,0.3333,228.23
O=C(O)c1cc(O)cc(OP(=O)(O)O)c1,0.2306,0.6857,234.10
Cc1nc(O)nc(S(=O)(=O)O)n1,0.2305,0.8286,191.17
Cc1ccc(S(=O)(=O)c2ccccc2)cc1,0.2305,0.3000,232.30
CCOP(=O)(OCC)c1cc(P(=O)(O)O)cc(S(=O)(=O)O)c1,0.2303,0.5789,374.24
CCOP(=O)(OCC)c1cc(OP(=O)(O)O)cc(S(=O)(=O)O)c1,0.2302,0.6190,390.24
O=C(O)c1nc(C(=O)O)nc(P(=O)(O)O)n1,0.2302,0.7143,249.08
Cc1cc(O)cc(-c2ccccc2)c1,0.2298,0.5909,184.24
CCOP(=O)(OCC)c1ccccc1O,0.2293,0.4333,230.20
Cc1cc(C)cc(OP(=O)(O)O)c1,0.2291,0.6667,202.15
N#Cc1ccccc1S(=O)(=O)O,0.2288,0.7241,183.19
CCOP(=O)(OCC)c1cc(N)cc(S(=O)(=O)O)c1,0.2281,0.5897,309.28
N#Cc1nc(C(=O)O)nc(-c2ccccc2)n1,0.2278,0.6667,226.20
N#Cc1nc(OP(=O)(O)O)nc(C(=O)O)n1,0.2275,0.7805,246.08
Cc1cc(C(=O)O)cc(P(=O)(O)O)c1,0.2275,0.6333,216.13
N#Cc1nc(C(=O)O)nc(P(=O)(O)O)n1,0.2269,0.7778,230.08
CCOP(=O)(OCC)c1cc(S(=O)(=O)O)cc(S(=O)(=O)O)c1,0.2268,0.5294,374.33
CCOP(=O)(OCC)c1cc(O)cc(S(=O)(=O)O)c1,0.2267,0.5789,310.26
O=C(O)c1ccc(OP(=O)(O)O)cc1,0.2264,0.4783,218.10
CCOP(=O)(OCC)c1cc(N)cc(O)c1,0.2264,0.5429,245.21
CCOP(=O)(OCC)c1nc(O)nc(P(=O)(O)O)n1,0.2264,0.6486,313.14
CCOP(=O)(OCC)c1nc(O)nc(OP(=O)(O)O)n1,0.2264,0.6829,329.14
O=C(O)c1nc(C(=O)O)nc(-c2ccccc2)n1,0.2264,0.5600,245.19
CCOP(=O)(OCC)c1nc(N)nc(N)n1,0.2263,0.6061,247.19
CCOP(=O)(OCC)c1cc(N)cc(C#N)c1,0.2258,0.5789,254.23
Cc1cc(C#N)cc(-c2ccccc2)c1,0.2255,0.6400,193.25
Cc1nc(N)nc(N)n1,0.2255,0.3846,125.14
Cc1nc(C(=O)O)nc(P(=O)(O)O)n1,0.2253,0.7576,219.09
Cc1nc(N)nc(O)n1,0.2251,0.6316,126.12
CCOP(=O)(OCC)c1nc(P(=O)(O)O)nc(P(=O)(O)O)n1,0.2250,0.6061,377.12
CCOP(=O)(OCC)c1nc(OP(=O)(O)O)nc(P(=O)(O)O)n1,0.2250,0.6750,393.12
CCOP(=O)(OCC)c1nc(OP(=O)(O)O)nc(OP(=O)(O)O)n1,0.2247,0.6486,409.12
Cc1nc(O)nc(O)n1,0.2246,0.8333,127.10
CCOP(=O)(OCC)c1nc(P(=O)(O)O)nc(S(=O)(=O)O)n1,0.2242,0.6829,377.21
CCOP(=O)(OCC)c1nc(OP(=O)(O)O)nc(S(=O)(=O)O)n1,0.2242,0.7111,393.21
CCOP(=O)(OCC)c1nc(N)nc(P(=O)(O)O)n1,0.2241,0.6579,312.16
CCOP(=O)(OCC)c1nc(N)nc(OP(=O)(O)O)n1,0.2241,0.6905,328.16
Cc1ccc(Oc2ccccc2)cc1,0.2240,0.3333,184.24
CCOP(=O)(OCC)c1cc(O)cc(O)c1,0.2236,0.4667,246.20
CCOP(=O)(OCC)c1ccccc1C,0.2235,0.4333,228.23
CCOP(=O)(OCC)c1cc(C#N)cc(P(=O)(O)O)c1,0.2234,0.5789,319.19
CCOP(=O)(OCC)c1cc(C#N)cc(OP(=O)(O)O)c1,0.2234,0.6190,335.19
CCOP(=O)(OCC)c1cc(C#N)cc(C#N)c1,0.2233,0.5152,264.22
O=C(O)c1cc(O)cc(-c2ccccc2)c1,0.2223,0.5385,214.22
CCOP(=O)(OCC)c1nc(O)nc(S(=O)(=O)O)n1,0.2223,0.6829,313.23
CCOP(=O)(OCC)c1cc(C#N)cc(P(=O)(OCC)OCC)c1,0.2214,0.5152,375.30
CCOP(=O)(OCC)c1cc(N)cc(P(=O)(OCC)OCC)c1,0.2213,0.4667,365.30
CCOP(=O)(OCC)c1nc(N)nc(O)n1,0.2207,0.6216,248.18
N#Cc1ccccc1-c1ccccc1,0.2206,0.6190,179.22
N#Cc1cc(OP(=O)(O)O)cc(C(=O)O)c1,0.2206,0.7105,243.11
CCOP(=O)(OCC)c1nc(S(=O)(=O)O)nc(S(=O)(=O)O)n1,0.2205,0.6486,377.29
CCOP(=O)(OCC)c1nc(N)nc(S(=O)(=O)O)n1,0.2202,0.6905,312.24
Cc1nc(OP(=O)(O)O)nc(C(=O)O)n1,0.2201,0.7632,235.09
CCOP(=O)(OCC)c1ccc(C(=O)O)cc1,0.2201,0.3667,258.21
O=C(O)c1cc(OP(=O)(O)O)cc(C(=O)O)c1,0.2201,0.6452,262.11
CCOP(=O)(OCC)c1cc(C#N)cc(S(=O)(=O)O)c1,0.2196,0.6190,319.27
Cc1nc(C(=O)O)nc(-c2ccccc2)n1,0.2196,0.6333,215.21
N#Cc1cc(N)cc(N)c1,0.2195,0.7368,133.15
CCOP(=O)(OCC)c1nc(O)nc(O)n1,0.2192,0.6061,249.16
CCOP(=O)(OCC)c1cc(C)cc(N)c1,0.2185,0.5294,243.24
Nc1nc(O)nc(C(=O)O)n1,0.2178,0.6818,156.10
CCOP(=O)(OCC)c1nc(C#N)nc(C#N)n1,0.2177,0.6389,267.18
CCOP(=O)(OCC)c1cc(P(=O)(O)O)cc(P(=O)(OCC)OCC)c1,0.2174,0.4667,430.27
CCOP(=O)(OCC)c1nc(N)nc(C#N)n1,0.2173,0.6829,257.19
CCOP(=O)(OCC)c1cc(C)cc(P(=O)(O)O)c1,0.2173,0.5294,308.21
Cc1ccc(-c2ccccc2)cc1,0.2172,0.3571,168.24
CCOP(=O)(OCC)c1cc(C)cc(OP(=O)(O)O)c1,0.2172,0.5789,324.21
CCOP(=O)(OCC)c1cc(P(=O)(OCC)OCC)cc(P(=O)(OCC)OCC)c1,0.2168,0.3600,486.38
Cc1cc(C)cc(-c2ccccc2)c1,0.2167,0.4706,182.27
CCOP(=O)(OCC)c1cc(OP(=O)(O)O)cc(P(=O)(OCC)OCC)c1,0.2167,0.5294,446.27
CCOP(=O)(OCC)c1cc(O)cc(C#N)c1,0.2167,0.5789,255.21
Nc1nc(N)nc(C(=O)O)n1,0.2162,0.5294,155.12
N#Cc1cc(N)cc(O)c1,0.2159,0.7917,134.14
CCOP(=O)(OCC)c1nc(C#N)nc(OP(=O)(O)O)n1,0.2157,0.7111,338.15
CCOP(=O)(OCC)c1nc(C#N)nc(P(=O)(O)O)n1,0.2157,0.6829,322.15
CCOP(=O)(OCC)c1nc(N)nc(P(=O)(OCC)OCC)n1,0.2156,0.6061,368.27
Cc1ccc2ccccc2c1,0.2155,0.5000,142.20
CCOP(=O)(OCC)c1ccccc1C(=O)O,0.2154,0.4545,258.21
O=C(O)c1ccc(Oc2ccccc2)cc1,0.2153,0.4091,214.22
N#Cc1cc(O)cc(O)c1,0.2151,0.8333,135.12
N#Cc1cc(C(=O)O)cc(-c2ccccc2)c1,0.2150,0.6000,223.23
CCOP(=O)(OCC)c1cc(C)cc(P(=O)(OCC)OCC)c1,0.2147,0.4483,364.32
CCOP(=O)(OCC)c1nc(C#N)nc(P(=O)(OCC)OCC)n1,0.2146,0.6389,378.26
CCOP(=O)(OCC)c1cc(O)cc(P(=O)(OCC)OCC)c1,0.2146,0.4667,366.29
O=C(O)c1ccc(-c2ccccc2)cc1,0.2145,0.3158,198.22
O=C(O)c1nc(O)nc(O)n1,0.2143,0.7273,157.08
CCOP(=O)(OCC)c1cc(C)cc(C#N)c1,0.2142,0.5676,253.24
CCOP(=O)(OCC)c1cc(C)cc(S(=O)(=O)O)c1,0.2138,0.5789,308.29
CCOP(=O)(OCC)c1nc(P(=O)(OCC)OCC)nc(P(=O)(OCC)OCC)n1,0.2137,0.5357,489.34
CCOP(=O)(OCC)c1cc(P(=O)(OCC)OCC)cc(S(=O)(=O)O)c1,0.2137,0.5294,430.35
CCOP(=O)(OCC)c1nc(C)nc(N)n1,0.2134,0.6486,246.21
CCOP(=O)(OCC)c1cc(N)cc(C(=O)O)c1,0.2133,0.5405,273.22
CCOP(=O)(OCC)c1cc(C(=O)O)cc(P(=O)(O)O)c1,0.2130,0.5278,338.19
CCOP(=O)(OCC)c1cc(OP(=O)(O)O)cc(C(=O)O)c1,0.2130,0.5750,354.19
CCOP(=O)(OCC)c1nc(P(=O)(O)O)nc(P(=O)(OCC)OCC)n1,0.2128,0.6061,433.23
N#Cc1ccc(S(=O)(=O)O)cc1,0.2127,0.7500,183.19
N#Cc1nc(S(=O)(=O)O)nc(S(=O)(=O)O)n1,0.2126,0.8710,266.22
O=C(O)c1ccc2ccccc2c1,0.2124,0.4783,172.18
CCOP(=O)(OCC)c1nc(OP(=O)(O)O)nc(P(=O)(OCC)OCC)n1,0.2122,0.6486,449.23
CCOP(=O)(OCC)c1nc(C)nc(P(=O)(O)O)n1,0.2121,0.6486,311.17
CCOP(=O)(OCC)c1nc(C)nc(OP(=O)(O)O)n1,0.2119,0.6829,327.17
CCOP(=O)(OCC)c1nc(O)nc(P(=O)(OCC)OCC)n1,0.2118,0.6061,369.25
CCOP(=O)(OCC)c1nc(C#N)nc(S(=O)(=O)O)n1,0.2118,0.7111,322.24
CCOP(=O)(OCC)c1nc(C)nc(P(=O)(OCC)OCC)n1,0.2117,0.5938,367.28
CCOP(=O)(OCC)c1cc(C)cc(C)c1,0.2109,0.4483,242.25
N#Cc1cc(N)cc(S(=O)(=O)O)c1,0.2098,0.8235,198.20
CCOP(=O)(OCC)c1cc(C(=O)O)cc(S(=O)(=O)O)c1,0.2097,0.5641,338.27
CCOP(=O)(OCC)c1nc(O)nc(C#N)n1,0.2096,0.6750,258.17
CCOP(=O)(OCC)c1nc(C)nc(C)n1,0.2092,0.5938,245.22
CCOP(=O)(OCC)c1cc(O)cc(C(=O)O)c1,0.2092,0.5278,274.21
CCOP(=O)(OCC)c1nc(C)nc(C#N)n1,0.2090,0.6750,256.20
CCOP(=O)(OCC)c1nc(P(=O)(OCC)OCC)nc(S(=O)(=O)O)n1,0.2089,0.6486,433.32
CCOP(=O)(OCC)c1nc(C)nc(S(=O)(=O)O)n1,0.2088,0.6750,311.26
Cc1nc(C)nc(S(=O)(=O)O)n1,0.2081,0.8065,189.20
CCOP(=O)(OCC)c1nc(C(=O)O)nc(P(=O)(O)O)n1,0.2081,0.6410,341.15
CCOP(=O)(OCC)c1nc(OP(=O)(O)O)nc(C(=O)O)n1,0.2081,0.6667,357.15
CCOP(=O)(OCC)c1cc(C)cc(O)c1,0.2081,0.5294,244.23
Cc1cc(OP(=O)(O)O)cc(C(=O)O)c1,0.2080,0.6944,232.13
N#Cc1nc(N)nc(C#N)n1,0.2079,0.5882,146.11
O=C(O)c1ccncc1,0.2075,0.3889,123.11
O=C(O)c1cc(C(=O)O)cc(-c2ccccc2)c1,0.2074,0.4545,242.23
N#Cc1cc(O)cc(S(=O)(=O)O)c1,0.2071,0.8182,199.19
Nc1nc(C(=O)O)nc(S(=O)(=O)O)n1,0.2070,0.7308,220.17
CCOP(=O)(OCC)c1cc(C#N)cc(C(=O)O)c1,0.2067,0.5750,283.22
CCOP(=O)(OCC)c1cc(C(=O)O)cc(C(=O)O)c1,0.2065,0.4688,302.22
N#Cc1nc(O)nc(C#N)n1,0.2062,0.8500,147.10
CCOP(=O)(OCC)c1nc(O)nc(C(=O)O)n1,0.2061,0.6410,277.17
CCOP(=O)(OCC)c1cc(C(=O)O)cc(P(=O)(OCC)OCC)c1,0.2055,0.4688,394.30
CCOP(=O)(OCC)c1nc(C)nc(O)n1,0.2054,0.6486,247.19
Cc1cc(N)cc(N)c1,0.2044,0.6875,122.17
O=C(O)c1nc(O)nc(S(=O)(=O)O)n1,0.2043,0.8000,221.15
Cc1cc(N)cc(S(=O)(=O)O)c1,0.2042,0.8000,187.22
CCOP(=O)(OCC)c1nc(N)nc(C(=O)O)n1,0.2042,0.6500,276.19
Cc1nc(S(=O)(=O)O)nc(S(=O)(=O)O)n1,0.2040,0.8065,255.23
CCOP(=O)(OCC)c1nc(C(=O)O)nc(S(=O)(=O)O)n1,0.2040,0.6744,341.24
N#Cc1ccccc1C#N,0.2034,0.6875,128.13
Nc1ccccc1C(=O)O,0.2027,0.3500,137.14
CCOP(=O)(OCC)c1nc(C(=O)O)nc(C(=O)O)n1,0.2024,0.6000,305.18
CCOP(=O)(OCC)c1cc(C)cc(C(=O)O)c1,0.2021,0.5278,272.24
Cc1cc(N)cc(O)c1,0.2016,0.7619,123.15
CCOP(=O)(OCC)c1nc(C(=O)O)nc(P(=O)(OCC)OCC)n1,0.2015,0.6000,397.26
N#Cc1nc(C#N)nc(S(=O)(=O)O)n1,0.2014,0.8710,211.16
CCOP(=O)(OCC)c1nc(C#N)nc(C(=O)O)n1,0.2014,0.6744,286.18
Cc1nc(C#N)nc(S(=O)(=O)O)n1,0.2001,0.8462,200.18
Cc1cc(C(=O)O)cc(-c2ccccc2)c1,0.1998,0.5556,212.25
Nc1cc(N)cc(C(=O)O)c1,0.1994,0.5500,152.15
N#Cc1cc(N)cc(C#N)c1,0.1994,0.6667,143.15
N#Cc1nc(C#N)nc(C#N)n1,0.1993,0.8125,156.11
Nc1cc(O)cc(C(=O)O)c1,0.1988,0.6250,153.14
CCOP(=O)(OCC)c1nc(C)nc(C(=O)O)n1,0.1984,0.6410,275.20
Cc1nc(N)nc(C#N)n1,0.1979,0.6818,135.13
Cc1ccccc1-c1ccccc1,0.1975,0.5556,168.24
Cc1nc(C)nc(N)n1,0.1975,0.5000,124.15
N#Cc1cc(O)cc(C#N)c1,0.1971,0.8333,144.13
O=C(O)c1nc(S(=O)(=O)O)nc(S(=O)(=O)O)n1,0.1967,0.7692,285.22
Cc1ccccc1S(=O)(=O)O,0.1967,0.6923,172.20
Cc1nc(O)nc(C#N)n1,0.1963,0.8800,136.11
N#Cc1ccc(C#N)cc1,0.1961,0.8125,128.13
Cc1nc(C)nc(O)n1,0.1960,0.8333,125.13
N#Cc1cc(S(=O)(=O)O)cc(S(=O)(=O)O)c1,0.1947,0.7931,263.25
O=C(O)c1ccccc1-c1ccccc1,0.1942,0.3810,198.22
Nc1ccc(C(=O)O)cc1,0.1924,0.2941,137.14
Cc1nc(C#N)nc(C#N)n1,0.1920,0.8571,145.12
Cc1nc(C)nc(C)n1,0.1915,0.7692,123.16
Nc1cc(C(=O)O)cc(S(=O)(=O)O)c1,0.1914,0.6667,217.20
Cc1nc(C)nc(C#N)n1,0.1913,0.8571,134.14
N#Cc1nc(O)nc(C(=O)O)n1,0.1909,0.7931,166.10
N#Cc1nc(N)nc(C(=O)O)n1,0.1903,0.7308,165.11
N#Cc1cc(C#N)cc(C#N)c1,0.1902,0.8125,153.14
N#Cc1cc(C#N)cc(S(=O)(=O)O)c1,0.1859,0.7931,208.20
O=C(O)c1nc(O)nc(C(=O)O)n1,0.1858,0.7273,185.09
Cc1nc(O)nc(C(=O)O)n1,0.1853,0.7778,155.11
Cc1cc(N)cc(C#N)c1,0.1842,0.7917,132.17
Cc1nc(N)nc(C(=O)O)n1,0.1840,0.6957,154.13
Nc1nc(C(=O)O)nc(C(=O)O)n1,0.1837,0.6111,184.11
O=C(O)c1ccccc1O,0.1821,0.2778,138.12
N#Cc1ccccc1C(=O)O,0.1811,0.4348,147.13
Cc1nc(C)nc(C(=O)O)n1,0.1809,0.7368,153.14
N#Cc1nc(C#N)nc(C(=O)O)n1,0.1808,0.7692,175.11
O=C(O)c1ccccc1S(=O)(=O)O,0.1806,0.4348,202.19
Cc1cc(O)cc(C#N)c1,0.1799,0.7917,133.15
Cc1nc(C#N)nc(C(=O)O)n1,0.1794,0.8065,164.12
Cc1cc(C)cc(N)c1,0.1790,0.6667,121.18
N#Cc1cc(N)cc(C(=O)O)c1,0.1788,0.6786,162.15
Cc1cc(O)cc(S(=O)(=O)O)c1,0.1786,0.8000,188.20
Cc1cc(C#N)cc(S(=O)(=O)O)c1,0.1786,0.8235,197.21
Cc1cc(C#N)cc(C#N)c1,0.1782,0.7368,142.16
O=C(O)c1ccccc1,0.1777,0.0000,122.12
Cc1cc(O)cc(O)c1,0.1756,0.6875,124.14
N#Cc1cc(O)cc(C(=O)O)c1,0.1748,0.6667,163.13
N#Cc1nc(C(=O)O)nc(C(=O)O)n1,0.1739,0.7692,194.11
Cc1cc(C)cc(S(=O)(=O)O)c1,0.1732,0.7619,186.23
N#Cc1ccc(C(=O)O)cc1,0.1732,0.4000,147.13
Cc1cc(C)cc(C#N)c1,0.1728,0.7368,131.18
O=C(O)c1cc(S(=O)(=O)O)cc(S(=O)(=O)O)c1,0.1727,0.5909,282.25
Cc1nc(C(=O)O)nc(C(=O)O)n1,0.1722,0.7368,183.12
Cc1ccc(S(=O)(=O)O)cc1,0.1722,0.5556,172.20
O=C(O)c1ccc(O)cc1,0.1721,0.2500,138.12
O=C(O)c1cc(O)cc(O)c1,0.1717,0.5263,154.12
Nc1cc(C(=O)O)cc(C(=O)O)c1,0.1715,0.5500,181.15
Cc1cc(N)cc(C(=O)O)c1,0.1697,0.6400,151.16
Cc1cc(S(=O)(=O)O)cc(S(=O)(=O)O)c1,0.1694,0.7619,252.27
Cc1nc(C(=O)O)nc(S(=O)(=O)O)n1,0.1689,0.8065,219.18
N#Cc1cc(C#N)cc(C(=O)O)c1,0.1688,0.6087,172.14
O=C(O)c1ccc(S(=O)(=O)O)cc1,0.1678,0.3684,202.19
O=C(O)c1ccccc1C(=O)O,0.1673,0.0000,166.13
O=C(O)c1cc(O)cc(S(=O)(=O)O)c1,0.1672,0.6538,218.19
Cc1cc(C)cc(O)c1,0.1640,0.6875,122.17
Cc1cc(C#N)cc(C(=O)O)c1,0.1631,0.6786,161.16
Cc1ccccc1C(=O)O,0.1629,0.3500,136.15
N#Cc1cc(C(=O)O)cc(C(=O)O)c1,0.1591,0.6087,191.14
O=C(O)c1cc(O)cc(C(=O)O)c1,0.1580,0.5263,182.13
O=C(O)c1nc(C(=O)O)nc(S(=O)(=O)O)n1,0.1577,0.7692,249.16
Cc1cc(C)cc(C)c1,0.1572,0.5455,120.19
O=C(O)c1ccc(C(=O)O)cc1,0.1568,0.0000,166.13
N#Cc1nc(C(=O)O)nc(S(=O)(=O)O)n1,0.1560,0.8235,230.16
Cc1cc(O)cc(C(=O)O)c1,0.1560,0.6250,152.15
O=C(O)c1nc(C(=O)O)nc(C(=O)O)n1,0.1543,0.6667,213.10
Cc1cc(C)cc(C(=O)O)c1,0.1538,0.5500,150.18
Cc1ccc(C(=O)O)cc1,0.1518,0.2941,136.15
Cc1cc(C(=O)O)cc(C(=O)O)c1,0.1483,0.5500,180.16
N#Cc1cc(C(=O)O)cc(S(=O)(=O)O)c1,0.1476,0.7000,227.20
Cc1cc(C(=O)O)cc(S(=O)(=O)O)c1,0.1464,0.6667,216.21
O=C(O)c1cc(C(=O)O)cc(S(=O)(=O)O)c1,0.1429,0.5909,246.20
O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,0.1389,0.4000,210.14
